Argentina,Position,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Sergio Romero,Goalkeeper,Monaco,Monaco,Sampdoria,Sampdoria,AZ,AZ,AZ,AZ,Racing Club,Racing Club,Racing Club,Racing Club,CAI,CAI,CAI,CAI,CAI,CAI,Almirante Brown,,,,,,
Ezequiel Garay,Defender,Benfica,Benfica,Benfica,Benfica,Real Madrid,Real Madrid,Racing Santander,Racing Santander,Racing Santander,Racing Santander,Newell's Old Boys,,,,,,,,,,,,,,
Hugo Campagnaro,Defender,Internazionale,Internazionale,Napoli,Napoli,Napoli,Napoli,Sampdoria,Sampdoria,Piacenza,Piacenza,Piacenza,Piacenza,Piacenza,Deportivo Moron,Deportivo Moron,Deportivo Moron,Deportivo Moron,,,,,,,,
Pablo Zabaleta,Defender,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Espanyol,Espanyol,Espanyol,San Lorenzo,San Lorenzo,San Lorenzo,San Lorenzo,San Lorenzo,San Lorenzo,San Lorenzo,San Lorenzo,Obras Sanitarias,Obras Sanitarias,,,,,
Fernando Gago,Midfielder,Boca Juniors,Velez Sarsfield,Valencia,Roma,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Boca Juniors,Boca Juniors,Boca Juniors,Boca Juniors,Boca Juniors,Boca Juniors,Boca Juniors,Boca Juniors,Boca Juniors,Boca Juniors,Boca Juniors,Boca Juniors,Boca Juniors,Boca Juniors,Boca Juniors,Boca Juniors,
Lucas Biglia,Midfielder,Lazio,Lazio,Anderlecht,Anderlecht,Anderlecht,Anderlecht,Anderlecht,Anderlecht,Anderlecht,Independiente,Argentinos Juniors,,,,,,,,,,,,,,
Angel di Maria,Midfielder,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Benfica,Benfica,Benfica,Rosario Central,Rosario Central,Rosario Central,Rosario Central,Rosario Central,Rosario Central,Rosario Central,Rosario Central,Rosario Central,Rosario Central,Rosario Central,Rosario Central,Rosario Central,Rosario Central,Rosario Central,Torito,
Enzo Perez,Midfielder,Benfica,Benfica,Estudiantes,Benfica,Estudiantes,Estudiantes,Estudiantes,Estudiantes,Godoy Cruz,Godoy Cruz,Godoy Cruz,Godoy Cruz,Deportivo Maipu,Deportivo Maipu,Deportivo Maipu,Deportivo Maipu,Deportivo Maipu,Deportivo Maipu,Deportivo Maipu,,,,,,
Gonzalo Higuain,Forward,Napoli,Napoli,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,River Plate,River Plate,River Plate,River Plate,River Plate,River Plate,River Plate,River Plate,River Plate,River Plate,,,,,,,
Lionel Messi,Forward,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Newell's Old Boys,Newell's Old Boys,Newell's Old Boys,Newell's Old Boys,Newell's Old Boys,Grandoli,Grandoli,Grandoli,,
Maxi Rodriguez,Midfielder,Newell's Old Boys,Newell's Old Boys,Newell's Old Boys,Liverpool,Liverpool,Atletico Madrid,Atletico Madrid,Atletico Madrid,Atletico Madrid,Atletico Madrid,Espanyol,Espanyol,Espanyol,Newell's Old Boys,Newell's Old Boys,Newell's Old Boys,,,,,,,,,
