Belgium,Position,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Thibaut Courtois,Goalkeeper,Atletico Madrid,Atletico Madrid,Atletico Madrid,Atletico Madrid,Genk,Genk,Genk,Genk,Genk,Genk,Genk,Genk,Genk,Genk,Genk,Genk,Blizen VV,Blizen VV,,,,,,,
Toby Alderweireld,Defender,Atletico Madrid,Atletico Madrid,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Ajax,Germinal Beerschot,Germinal Beerschot,Germinal Beerschot,Germinal Beerschot,Germinal Beerschot,Germinal Ekeren,Germinal Ekeren,Germinal Ekeren,Germinal Ekeren,Germinal Ekeren,,,,
Thomas Vermaelen,Defender,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Ajax,Ajax,Ajax,Ajax,RKC Waalwijk,RKC Waalwijk,Ajax,Ajax,Ajax,Germinal Beerschot,Germinal Ekeren,Germinal Ekeren,Germinal Ekeren,Germinal Ekeren,Germinal Ekeren,Germinal Ekeren,Germinal Ekeren,Germinal Ekeren,
Vincent Komapny,Defender,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Hamburger SV,Hamburger SV,Anderlecht,Anderlecht,Anderlecht,Anderlecht,Anderlecht,Anderlecht,,,,,,,,,,
Jan Vertonghen,Defender,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur,Ajax,Ajax,Ajax,Ajax,Ajax,RKC Waalwijk,Ajax,Ajax,Ajax,Germinal Beerschot,Germinal Beerschot,Germinal Beerschot,VK Tielrode,VK Tielrode,VK Tielrode,,,,,,,
Axel Witsel,Midfielder,Zenit Saint Petersburg,Zenit Saint Petersburg,Zenit Saint Petersburg,Benfica,Standard Liege,Standard Liege,Standard Liege,Standard Liege,Standard Liege,Standard Liege,Standard Liege,Standard Liege,Standard Liege,Standard Liege,Standard Liege,Standard Liege,CS Vise,CS Vise,RRC Vottem,RRC Vottem,,,,,
Kevin De Bruyne,Midfielder,Woflsburg,Chelsea,Werder Bremen,Genk,Genk,Genk,Genk,Genk,Genk,Genk,Gent,Gent,Gent,Gent,Gent,Gent,KVV Drongen,KVV Drongen,,,,,,,
Marouane Fellaini,Midfielder,Manchester United,Manchester United,Everton,Everton,Everton,Everton,Everton,Standard Liege,Standard Liege,Standard Liege,Standard Liege,Sporting Charleroi,Sporting Charleroi,RFC Seraing,RFC Seraing,Mons,Mons,Mons,Anderlecht,Anderlecht,Anderlecht,,,,
Romelu Lukaku,Forward,Everton,Everton,West Bromwich Albion,Chelsea,Anderlecht,Anderlecht,Anderlecht,Anderlecht,Anderlecht,Lierse,Lierse,KFC Wintam,Rupel Boom,Rupel Boom,Rupel Boom,Rupel Boom,,,,,,,,,
Eden Hazard,Midfielder,Chelsea,Chelsea,Chelsea,Lille,Lille,Lille,Lille,Lille,Lille,Lille,Tubize,Tubize,Royal Stade Brainois,Royal Stade Brainois,Royal Stade Brainois,Royal Stade Brainois,Royal Stade Brainois,Royal Stade Brainois,Royal Stade Brainois,Royal Stade Brainois,,,,,
Kevin Mirallas,Midfielder,Everton,Everton,Everton,Olympiacos,Olympiacos,Saint-Etienne,Saint-Etienne,Lille,Lille,Lille,Lille,Standard Liege,Standard Liege,Standard Liege,Standard Liege,Standard Liege,,,,,,,,,
Simon Mignolet,Goalkeeper,Liverpool,Liverpool,Sunderland,Sunderland,Sunderland,Sint-Truiden,Sint-Truiden,Sint-Truiden,Sint-Truiden,Sint-Truiden,Sint-Truiden,,,,,,,,,,,,,,
Sammy Bossut,Goalkeeper,Zulte Waregem,Zulte Waregem,Zulte Waregem,Zulte Waregem,Zulte Waregem,Zulte Waregem,Zulte Waregem,Zulte Waregem,Zulte Waregem,KRC Harlebeke,KRC Harlebeke,KRC Harlebeke,Ingelmunster,Ingelmunster,Ingelmunster,Ingelmunster,Waregem,Waregem,SC Oostrozebeke,SC Oostrozebeke,SC Oostrozebeke,SC Oostrozebeke,,,
Dries Mertens,Forward,Napoli,Napoli,PSV Eindhoven,PSV Eindhoven,Utrecht,Utrecht,AGOVV,AGOVV,AGOVV,Eendracht Aalst,Gent,Gent,Anderlecht,Anderlecht,Anderlecht,Anderlecht,Anderlecht,Stade Leuven,Stade Leuven,,,,,,
Daniel Van Buyten,Defender,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Hamburger SV,Manchester City,Marseille,Marseille,Marseille,Standard Liege,Standard Liege,Charleroi,Charleroi,MORE>>>>,,,,,,
Steven Defour,Midfielder,Porto,Porto,Porto,Porto,Standard Liege,Standard Liege,Standard Liege,Standard Liege,Standard Liege,Genk,Genk,Mechelen,Mechelen,Mechelen,Mechelen,Mechelen,Mechelen,Mechelen,Zennester Hombeek,Zennester Hombeek,Zennester Hombeek,Zennester Hombeek,,,
Divock Origi,Forward,Lille,Lille,Lille,Lille,Lille,Genk,Genk,Genk,Genk,Genk,Genk,Genk,Genk,Genk,,,,,,,,,,,
Nicolas Lombaerts,Defender,Zenit Saint Petersburg,Zenit Saint Petersburg,Zenit Saint Petersburg,Zenit Saint Petersburg,Zenit Saint Petersburg,Zenit Saint Petersburg,Zenit Saint Petersburg,Zenit Saint Petersburg,Gent,Gent,Gent,Club Brugge,Club Brugge,Club Brugge,Club Brugge,Club Brugge,Club Brugge,Club Brugge,Club Brugge,Club Brugge,Club Brugge,Club Brugge,Club Brugge,Club Brugge,
Mousa Dembele,Midfielder,Fulham,Fulham,Fulham,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,US Cergy Clos,US Cergy Clos,,,,,,,,,,,,
Adnan Januzaj,Midfielder,Manchester United,Manchester United,Manchester United,Manchester United,Anderlecht,Anderlecht,Anderlecht,Anderlecht,Anderlecht,Anderlecht,FC Brussels,FC Brussels,FC Brussels,FC Brussels,,,,,,,,,,,
Anthony Vanden Borre,Defender,Anderlecht,Anderlecht,Genk,Genk,Genk,Portsmouth,Genoa,Fiorentina,Anderlecht,Anderlecht,Anderlecht,Anderlecht,Anderlecht,Anderlecht,Anderlecht,Anderlecht,Anderlecht,Anderlecht,Anderlecht,Anderlecht,,,,,
Nacer Chadli,Midfielder,Tottenham Hotspur,Tottenham Hotspur,Twente,Twente,Twente,AGOVV,AGOVV,AGOVV,MVV Maastricht,MVV Maastricht,Standard Liege,Standard Liege,Standard Liege,Standard Liege,Standard Liege,Standard Liege,Standard Liege,,,,,,,,
Laurent Ciman,Defender,Standard Liege,Standard Liege,Standard Liege,Standard Liege,Standard Liege,Kortijk,Club Brugge,Charleroi,Charleroi,Charleroi,Charleroi,,,,,,,,,,,,,,
